#tau                histogram                     
1.25000000e-01      7.08023328694622e-01          
3.75000000e-01      3.99414691390013e-01          
6.25000000e-01      2.63883285143552e-01          
8.75000000e-01      1.92162296827008e-01          
1.12500000e+00      1.50608276369273e-01          
1.37500000e+00      1.23832612217109e-01          
1.62500000e+00      1.05852120804505e-01          
1.87500000e+00      9.34930903731724e-02          
2.12500000e+00      8.44850857951916e-02          
2.37500000e+00      7.73463855425685e-02          
2.62500000e+00      7.23251103456417e-02          
2.87500000e+00      6.75960326662361e-02          
3.12500000e+00      6.40736428552404e-02          
3.37500000e+00      6.11171111127151e-02          
3.62500000e+00      5.86343476195416e-02          
3.87500000e+00      5.65620062973600e-02          
4.12500000e+00      5.44720434143630e-02          
4.37500000e+00      5.27422926966059e-02          
4.62500000e+00      5.11617531171820e-02          
4.87500000e+00      5.00731525913794e-02          
5.12500000e+00      4.88998770330870e-02          
5.37500000e+00      4.73610341858783e-02          
5.62500000e+00      4.62081264056713e-02          
5.87500000e+00      4.52978926915510e-02          
6.12500000e+00      4.42557490078981e-02          
6.37500000e+00      4.30294714562960e-02          
6.62500000e+00      4.18437463797133e-02          
6.87500000e+00      4.08656353287377e-02          
7.12500000e+00      4.00086324593663e-02          
7.37500000e+00      3.90317572061622e-02          
7.62500000e+00      3.81383211876764e-02          
7.87500000e+00      3.73445728560892e-02          
8.12500000e+00      3.65186022418681e-02          
8.37500000e+00      3.55789382326716e-02          
8.62500000e+00      3.47754408297761e-02          
8.87500000e+00      3.42086215852613e-02          
9.12500000e+00      3.34331355985192e-02          
9.37500000e+00      3.23887491707625e-02          
9.62500000e+00      3.16818728454810e-02          
9.87500000e+00      3.09231845543733e-02          
1.01250000e+01      3.02688525195232e-02          
1.03750000e+01      2.96616181108525e-02          
1.06250000e+01      2.89324974256845e-02          
1.08750000e+01      2.81448365423790e-02          
1.11250000e+01      2.75238252770708e-02          
1.13750000e+01      2.69678078204844e-02          
1.16250000e+01      2.63951757494149e-02          
1.18750000e+01      2.58062036855893e-02          
1.21250000e+01      2.51820342704206e-02          
1.23750000e+01      2.47173285380596e-02          
1.26250000e+01      2.40622641786042e-02          
1.28750000e+01      2.36495077229328e-02          
1.31250000e+01      2.31668142674537e-02          
1.33750000e+01      2.27422033072338e-02          
1.36250000e+01      2.20767490924404e-02          
1.38750000e+01      2.16348369634199e-02          
1.41250000e+01      2.10635780009853e-02          
1.43750000e+01      2.05243582400334e-02          
1.46250000e+01      2.01217627882608e-02          
1.48750000e+01      1.97822387931210e-02          
1.51250000e+01      1.93907197510038e-02          
1.53750000e+01      1.91092324808353e-02          
1.56250000e+01      1.84884500669663e-02          
1.58750000e+01      1.82152929891833e-02          
1.61250000e+01      1.79262993918104e-02          
1.63750000e+01      1.75754243652882e-02          
1.66250000e+01      1.69512091798317e-02          
1.68750000e+01      1.67759089774341e-02          
1.71250000e+01      1.62717950272495e-02          
1.73750000e+01      1.59451782532785e-02          
1.76250000e+01      1.54965836622344e-02          
1.78750000e+01      1.52781678486988e-02          
1.81250000e+01      1.50142105987702e-02          
1.83750000e+01      1.46386196168186e-02          
1.86250000e+01      1.42952966877887e-02          
1.88750000e+01      1.39537130296965e-02          
1.91250000e+01      1.36941039571119e-02          
1.93750000e+01      1.34533064728263e-02          
1.96250000e+01      1.32010664165827e-02          
1.98750000e+01      1.29439289395410e-02          
2.01250000e+01      1.24971193897224e-02          
2.03750000e+01      1.22392495880754e-02          
2.06250000e+01      1.20587315728650e-02          
2.08750000e+01      1.16946289331593e-02          
2.11250000e+01      1.14771742956682e-02          
2.13750000e+01      1.09616177735255e-02          
2.16250000e+01      1.08480159191258e-02          
2.18750000e+01      1.04760407899130e-02          
2.21250000e+01      1.00609958198500e-02          
2.23750000e+01      9.85887422878266e-03          
2.26250000e+01      9.74499775265598e-03          
2.28750000e+01      9.39627392966193e-03          
2.31250000e+01      9.19374040600415e-03          
2.33750000e+01      8.85256868050242e-03          
2.36250000e+01      8.53895066827572e-03          
2.38750000e+01      8.26469510358478e-03          
2.41250000e+01      7.92050253908612e-03          
2.43750000e+01      7.72932004681074e-03          
2.46250000e+01      7.43272858165764e-03          
2.48750000e+01      7.08752907082668e-03          
