#tau                histogram                     
1.50000000e-01      8.01693639898911e-01          
4.50000000e-01      5.61574215481989e-01          
7.50000000e-01      4.51016190412516e-01          
1.05000000e+00      3.84570036866546e-01          
1.35000000e+00      3.36497510742917e-01          
1.65000000e+00      3.05073974911292e-01          
1.95000000e+00      2.78012430148728e-01          
2.25000000e+00      2.58720537487554e-01          
2.55000000e+00      2.42812262660108e-01          
2.85000000e+00      2.29585729214955e-01          
3.15000000e+00      2.19874126457422e-01          
3.45000000e+00      2.10666506132079e-01          
3.75000000e+00      2.02155213827724e-01          
4.05000000e+00      1.91395882454282e-01          
4.35000000e+00      1.81984819679247e-01          
4.65000000e+00      1.76650003805299e-01          
4.95000000e+00      1.69656207227959e-01          
5.25000000e+00      1.61450078598141e-01          
5.55000000e+00      1.55828593817809e-01          
5.85000000e+00      1.48955937971877e-01          
6.15000000e+00      1.43743187567743e-01          
6.45000000e+00      1.39961007480301e-01          
6.75000000e+00      1.31708641930099e-01          
7.05000000e+00      1.25754251323000e-01          
7.35000000e+00      1.20537801965236e-01          
7.65000000e+00      1.16480049832303e-01          
7.95000000e+00      1.14475216964437e-01          
8.25000000e+00      1.09186638010873e-01          
8.55000000e+00      1.05160326983802e-01          
8.85000000e+00      9.93261523697023e-02          
9.15000000e+00      9.57446405167290e-02          
9.45000000e+00      9.03450929542424e-02          
9.75000000e+00      8.91198145640566e-02          
1.00500000e+01      8.38044181966695e-02          
1.03500000e+01      8.09765681459614e-02          
1.06500000e+01      7.76197677260562e-02          
1.09500000e+01      7.45801525799878e-02          
1.12500000e+01      7.20343477436244e-02          
1.15500000e+01      6.81550701233758e-02          
1.18500000e+01      6.45661603631411e-02          
1.21500000e+01      6.27832647131198e-02          
1.24500000e+01      5.99498662319656e-02          
1.27500000e+01      5.85710812661037e-02          
1.30500000e+01      5.54519386169742e-02          
1.33500000e+01      5.37411725627525e-02          
1.36500000e+01      5.18898462705624e-02          
1.39500000e+01      5.05656208707540e-02          
1.42500000e+01      4.81529783650976e-02          
1.45500000e+01      4.79957728357908e-02          
1.48500000e+01      4.62840820431614e-02          
1.51500000e+01      4.47739842234079e-02          
1.54500000e+01      4.24704608498586e-02          
1.57500000e+01      4.23659654097900e-02          
1.60500000e+01      4.00531946521638e-02          
1.63500000e+01      3.89989928674002e-02          
1.66500000e+01      3.75961647029384e-02          
1.69500000e+01      3.59307108306934e-02          
1.72500000e+01      3.48857564300067e-02          
1.75500000e+01      3.35263909707062e-02          
1.78500000e+01      3.36724996391208e-02          
1.81500000e+01      3.10212746242811e-02          
1.84500000e+01      3.08788649094972e-02          
1.87500000e+01      2.95934785228118e-02          
1.90500000e+01      2.81028002096197e-02          
1.93500000e+01      2.68534786208340e-02          
1.96500000e+01      2.65695839296740e-02          
1.99500000e+01      2.46932897004763e-02          
2.02500000e+01      2.38249603356578e-02          
2.05500000e+01      2.34874308168520e-02          
2.08500000e+01      2.16055881572081e-02          
2.11500000e+01      2.11284231388414e-02          
2.14500000e+01      2.00307586489165e-02          
2.17500000e+01      1.98402625369329e-02          
2.20500000e+01      1.86362531301239e-02          
2.23500000e+01      1.86852642657313e-02          
2.26500000e+01      1.79713662149967e-02          
2.29500000e+01      1.76477077723061e-02          
2.32500000e+01      1.66351192158884e-02          
2.35500000e+01      1.61450078598141e-02          
2.38500000e+01      1.50547412771507e-02          
2.41500000e+01      1.43260474118930e-02          
2.44500000e+01      1.34318253716593e-02          
2.47500000e+01      1.34863849377129e-02          
2.50500000e+01      1.30443599788383e-02          
2.53500000e+01      1.27308736586323e-02          
2.56500000e+01      1.20604383130589e-02          
2.59500000e+01      1.16896182115763e-02          
2.62500000e+01      1.16849945195378e-02          
2.65500000e+01      1.12901312194553e-02          
2.68500000e+01      1.00445085843004e-02          
2.71500000e+01      9.93446471378560e-03          
2.74500000e+01      1.01073907960231e-02          
2.77500000e+01      9.84938878027836e-03          
2.80500000e+01      9.12716808387451e-03          
2.83500000e+01      8.21722549071012e-03          
2.86500000e+01      8.00546039534971e-03          
2.89500000e+01      7.21665853359237e-03          
2.92500000e+01      7.60042497278264e-03          
2.95500000e+01      7.73081308826656e-03          
2.98500000e+01      6.28729643386655e-03          
