#tau                histogram                     
1.25000000e-01      8.21713290803430e-01          
3.75000000e-01      6.08537369145496e-01          
6.25000000e-01      4.91959983548097e-01          
8.75000000e-01      4.19048611218897e-01          
1.12500000e+00      3.72080000362068e-01          
1.37500000e+00      3.35424898876968e-01          
1.62500000e+00      3.08722126801322e-01          
1.87500000e+00      2.87677507609477e-01          
2.12500000e+00      2.69829753126776e-01          
2.37500000e+00      2.54844894058459e-01          
2.62500000e+00      2.43262368005009e-01          
2.87500000e+00      2.32011145711542e-01          
3.12500000e+00      2.22868916746380e-01          
3.37500000e+00      2.14487364768189e-01          
3.62500000e+00      2.05625461210402e-01          
3.87500000e+00      1.98842230522833e-01          
4.12500000e+00      1.91724253092860e-01          
4.37500000e+00      1.84301627250673e-01          
4.62500000e+00      1.78446002665479e-01          
4.87500000e+00      1.72244191751131e-01          
5.12500000e+00      1.67090602387814e-01          
5.37500000e+00      1.61396353720574e-01          
5.62500000e+00      1.56148137872676e-01          
5.87500000e+00      1.50930131418917e-01          
6.12500000e+00      1.46387282711366e-01          
6.37500000e+00      1.41643075064208e-01          
6.62500000e+00      1.37420090529891e-01          
6.87500000e+00      1.32732747624641e-01          
7.12500000e+00      1.29014326610808e-01          
7.37500000e+00      1.24528453709115e-01          
7.62500000e+00      1.21426326548501e-01          
7.87500000e+00      1.17919371293640e-01          
8.12500000e+00      1.13876421420715e-01          
8.37500000e+00      1.10316044406366e-01          
8.62500000e+00      1.06157699090389e-01          
8.87500000e+00      1.02286454082679e-01          
9.12500000e+00      9.92777317032070e-02          
9.37500000e+00      9.60296665135557e-02          
9.62500000e+00      9.35970328377503e-02          
9.87500000e+00      9.03242003874632e-02          
1.01250000e+01      8.74925139427599e-02          
1.03750000e+01      8.45508741885078e-02          
1.06250000e+01      8.20625974742336e-02          
1.08750000e+01      7.94689210723213e-02          
1.11250000e+01      7.66448980401017e-02          
1.13750000e+01      7.43272155515518e-02          
1.16250000e+01      7.18296094655583e-02          
1.18750000e+01      6.97614876704995e-02          
1.21250000e+01      6.80867543829374e-02          
1.23750000e+01      6.56103615112105e-02          
1.26250000e+01      6.39709465594429e-02          
1.28750000e+01      6.14732294095005e-02          
1.31250000e+01      5.96556678834740e-02          
1.33750000e+01      5.82571506371725e-02          
1.36250000e+01      5.57120091809903e-02          
1.38750000e+01      5.47022157563259e-02          
1.41250000e+01      5.24678312295554e-02          
1.43750000e+01      5.14939114604307e-02          
1.46250000e+01      4.91110344337947e-02          
1.48750000e+01      4.78530130830278e-02          
1.51250000e+01      4.61944951320255e-02          
1.53750000e+01      4.50105534352676e-02          
1.56250000e+01      4.36655690124030e-02          
1.58750000e+01      4.20419251413990e-02          
1.61250000e+01      4.09167362736829e-02          
1.63750000e+01      3.98496338513143e-02          
1.66250000e+01      3.85685111991472e-02          
1.68750000e+01      3.71105747401097e-02          
1.71250000e+01      3.61443183834687e-02          
1.73750000e+01      3.49179502581779e-02          
1.76250000e+01      3.40806391463714e-02          
1.78750000e+01      3.32315552559667e-02          
1.81250000e+01      3.21585664442991e-02          
1.83750000e+01      3.09506349345488e-02          
1.86250000e+01      3.02061732841390e-02          
1.88750000e+01      2.90621035450863e-02          
1.91250000e+01      2.80585297015681e-02          
1.93750000e+01      2.77227833836226e-02          
1.96250000e+01      2.65530578723418e-02          
1.98750000e+01      2.59259908160665e-02          
2.01250000e+01      2.51677572359759e-02          
2.03750000e+01      2.45675676553681e-02          
2.06250000e+01      2.33334250536446e-02          
2.08750000e+01      2.28042053364728e-02          
2.11250000e+01      2.22426660101306e-02          
2.13750000e+01      2.11797840178255e-02          
2.16250000e+01      2.05281718288126e-02          
2.18750000e+01      1.97679390976393e-02          
2.21250000e+01      1.93432305565134e-02          
2.23750000e+01      1.88967534813758e-02          
2.26250000e+01      1.84688240857278e-02          
2.28750000e+01      1.76794925999063e-02          
2.31250000e+01      1.70866332399350e-02          
2.33750000e+01      1.66120569856905e-02          
2.36250000e+01      1.61525854285154e-02          
2.38750000e+01      1.57129943182183e-02          
2.41250000e+01      1.52861755620606e-02          
2.43750000e+01      1.45703684105030e-02          
2.46250000e+01      1.41966382219861e-02          
2.48750000e+01      1.37409428390783e-02          
