#tau                histogram                     analytic                      
1.00000000e-01      1.02266484334548e+00          1.02531512052443e+00          
3.00000000e-01      1.07897652010574e+00          1.07788415088463e+00          
5.00000000e-01      1.12848920180261e+00          1.13314845306683e+00          
7.00000000e-01      1.19903877410736e+00          1.19124621661236e+00          
9.00000000e-01      1.25885393302969e+00          1.25232271619186e+00          
1.10000000e+00      1.31297393373422e+00          1.31653067486762e+00          
1.30000000e+00      1.39072244198844e+00          1.38403064598075e+00          
1.50000000e+00      1.45728860306782e+00          1.45499141461820e+00          
1.70000000e+00      1.52764620374725e+00          1.52959041966338e+00          
1.90000000e+00      1.62396796675108e+00          1.60801419748578e+00          
2.10000000e+00      1.69957279185591e+00          1.69045884837909e+00          
2.30000000e+00      1.78560807526973e+00          1.77713052691404e+00          
2.50000000e+00      1.88538532752931e+00          1.86824595743222e+00          
2.70000000e+00      1.97570797724192e+00          1.96403297596985e+00          
2.90000000e+00      2.07497330516731e+00          2.06473109996649e+00          
3.10000000e+00      2.18780462794859e+00          2.17059212718344e+00          
3.30000000e+00      2.30180377811722e+00          2.28188076532930e+00          
3.50000000e+00      2.40071715806286e+00          2.39887529396710e+00          
3.70000000e+00      2.53647309243432e+00          2.52186826035815e+00          
3.90000000e+00      2.67432471704884e+00          2.65116721098261e+00          
4.10000000e+00      2.79200332336942e+00          2.78709546056585e+00          
4.30000000e+00      2.94833221692090e+00          2.92999290053370e+00          
4.50000000e+00      3.07632929810238e+00          3.08021684891803e+00          
4.70000000e+00      3.24734402099077e+00          3.23814294383796e+00          
4.90000000e+00      3.40596057641064e+00          3.40416608279082e+00          
5.10000000e+00      3.58361431800798e+00          3.57870141010158e+00          
5.30000000e+00      3.75094958474442e+00          3.76218535499991e+00          
5.50000000e+00      3.95632722856492e+00          3.95507672292058e+00          
5.70000000e+00      4.15213828639035e+00          4.15785784275601e+00          
5.90000000e+00      4.37770494614024e+00          4.37103577292976e+00          
6.10000000e+00      4.57660354760622e+00          4.59514356930669e+00          
6.30000000e+00      4.82683856120961e+00          4.83074161811028e+00          
6.50000000e+00      5.06825887768376e+00          5.07841903718008e+00          
6.70000000e+00      5.35559240788005e+00          5.33879514907318e+00          
6.90000000e+00      5.61593792708357e+00          5.61252102969316e+00          
7.10000000e+00      5.92014896267250e+00          5.90028113631902e+00          
7.30000000e+00      6.23034311391720e+00          6.20279501910487e+00          
7.50000000e+00      6.54751223421516e+00          6.52081912033011e+00          
7.70000000e+00      6.84287657740397e+00          6.85514866589918e+00          
7.90000000e+00      7.20871050472031e+00          7.20661965382047e+00          
8.10000000e+00      7.59062205565713e+00          7.57611094463685e+00          
8.30000000e+00      8.00748844003745e+00          7.96454645903477e+00          
8.50000000e+00      8.34463860700403e+00          8.37289748812726e+00          
8.70000000e+00      8.81533703465091e+00          8.80218512218761e+00          
8.90000000e+00      9.23426711400341e+00          9.25348280390689e+00          
9.10000000e+00      9.73267344623800e+00          9.72791901255989e+00          
9.30000000e+00      1.02363909934398e+01          1.02266800857910e+01          
9.50000000e+00      1.07727277193103e+01          1.07510131860764e+01          
9.70000000e+00      1.13515701625536e+01          1.13022294192796e+01          
9.90000000e+00      1.18746608462771e+01          1.18817071130994e+01          
