#tau                histogram                     analytic                      
1.00000000e-01      9.29371529238346e-01          9.27743486328553e-01          
3.00000000e-01      7.99507087013902e-01          7.98516218759377e-01          
5.00000000e-01      6.87595917631048e-01          6.87289278790972e-01          
7.00000000e-01      5.92563431440014e-01          5.91555364366815e-01          
9.00000000e-01      5.09651064419968e-01          5.09156420607549e-01          
1.10000000e+00      4.38264212518033e-01          4.38234992464949e-01          
1.30000000e+00      3.77066948012813e-01          3.77192353563157e-01          
1.50000000e+00      3.24861404809433e-01          3.24652467358350e-01          
1.70000000e+00      2.79313788640323e-01          2.79430968221407e-01          
1.90000000e+00      2.40375348366738e-01          2.40508463208342e-01          
2.10000000e+00      2.06604062600589e-01          2.07007552681153e-01          
2.30000000e+00      1.78452744172912e-01          1.78173051772898e-01          
2.50000000e+00      1.53188465517650e-01          1.53354966844928e-01          
2.70000000e+00      1.31550086106421e-01          1.31993843187830e-01          
2.90000000e+00      1.13693183343741e-01          1.13608153670764e-01          
3.10000000e+00      9.76531928980983e-02          9.77834440513500e-02          
3.30000000e+00      8.40876557432881e-02          8.41629902573104e-02          
3.50000000e+00      7.26141551598197e-02          7.24397570342515e-02          
3.70000000e+00      6.23291966829400e-02          6.23494766896734e-02          
3.90000000e+00      5.35565225058649e-02          5.36646919127301e-02          
4.10000000e+00      4.60769523039957e-02          4.61896283816801e-02          
4.30000000e+00      3.96559211720651e-02          3.97557815762213e-02          
4.50000000e+00      3.41293269162684e-02          3.42181183116660e-02          
4.70000000e+00      2.94554113890751e-02          2.94518073691073e-02          
4.90000000e+00      2.54685405986054e-02          2.53494055227249e-02          
5.10000000e+00      2.18058116008493e-02          2.18184355310428e-02          
5.30000000e+00      1.88091483661770e-02          1.87793014946844e-02          
5.50000000e+00      1.61397571202853e-02          1.61634945881659e-02          
5.70000000e+00      1.38218136327971e-02          1.39120487189376e-02          
5.90000000e+00      1.21272453620336e-02          1.19742113008036e-02          
6.10000000e+00      1.03677421728614e-02          1.03062991780007e-02          
6.30000000e+00      8.87310685088083e-03          8.87071390992825e-03          
6.50000000e+00      7.59825125274557e-03          7.63509421885996e-03          
6.70000000e+00      6.62515987544151e-03          6.57158649492961e-03          
6.90000000e+00      5.66165888608707e-03          5.65621691395310e-03          
7.10000000e+00      4.72260006602087e-03          4.86835101422977e-03          
7.30000000e+00      4.17661395205614e-03          4.19022854998458e-03          
7.50000000e+00      3.64314862235895e-03          3.60656313601573e-03          
7.70000000e+00      3.11161469023496e-03          3.10419765864931e-03          
7.90000000e+00      2.62163910589262e-03          2.67180768519945e-03          
8.10000000e+00      2.33472666640005e-03          2.29964618612493e-03          
8.30000000e+00      1.94631595444075e-03          1.97932381535319e-03          
8.50000000e+00      1.67878409059636e-03          1.70361979580257e-03          
8.70000000e+00      1.45427577269259e-03          1.46631914704290e-03          
8.90000000e+00      1.24481903587641e-03          1.26207258584461e-03          
9.10000000e+00      1.11121960374500e-03          1.08627594146386e-03          
9.30000000e+00      9.56174998559605e-04          9.34966367416581e-04          
9.50000000e+00      7.90807406345110e-04          8.04733010124613e-04          
9.70000000e+00      6.91506931116833e-04          6.92640120706801e-04          
9.90000000e+00      5.91540456725389e-04          5.96160876684358e-04          
