#tau                histogram                     
1.25000000e-01      5.56358568204675e-01          
3.75000000e-01      2.06351360788583e-01          
6.25000000e-01      1.02569263068117e-01          
8.75000000e-01      6.07640106369216e-02          
1.12500000e+00      4.07721209662114e-02          
1.37500000e+00      2.99470361993664e-02          
1.62500000e+00      2.35209926581060e-02          
1.87500000e+00      1.95410310634216e-02          
2.12500000e+00      1.68526411661495e-02          
2.37500000e+00      1.48409258510001e-02          
2.62500000e+00      1.35194096172626e-02          
2.87500000e+00      1.23569860972383e-02          
3.12500000e+00      1.15571522449926e-02          
3.37500000e+00      1.08581226726885e-02          
3.62500000e+00      1.03898908389194e-02          
3.87500000e+00      1.00376064079660e-02          
4.12500000e+00      9.82734720425584e-03          
4.37500000e+00      9.56617329643961e-03          
4.62500000e+00      9.36226269412448e-03          
4.87500000e+00      9.23302459320399e-03          
5.12500000e+00      9.07817627022522e-03          
5.37500000e+00      9.09972194861414e-03          
5.62500000e+00      8.94598867743847e-03          
5.87500000e+00      8.92018062360867e-03          
6.12500000e+00      8.90415625011575e-03          
6.37500000e+00      8.90685395609099e-03          
6.62500000e+00      8.84734256227720e-03          
6.87500000e+00      8.77414480681569e-03          
7.12500000e+00      8.76991840078781e-03          
7.37500000e+00      8.69699041592383e-03          
7.62500000e+00      8.60812798109943e-03          
7.87500000e+00      8.63618412324192e-03          
8.12500000e+00      8.67193771976710e-03          
8.37500000e+00      8.63096855835646e-03          
8.62500000e+00      8.55165600268440e-03          
8.87500000e+00      8.52072230750165e-03          
9.12500000e+00      8.54681811663548e-03          
9.37500000e+00      8.57741010239469e-03          
9.62500000e+00      8.63825236448961e-03          
9.87500000e+00      8.74429019402303e-03          
1.01250000e+01      8.68055239418137e-03          
1.03750000e+01      8.76603370418347e-03          
1.06250000e+01      8.75885780628933e-03          
1.08750000e+01      8.79468334164051e-03          
1.11250000e+01      8.77085360552590e-03          
1.13750000e+01      8.68269257425506e-03          
1.16250000e+01      8.64695696243638e-03          
1.18750000e+01      8.70204411845078e-03          
1.21250000e+01      8.56530639491912e-03          
1.23750000e+01      8.55732118523241e-03          
1.26250000e+01      8.50316923395609e-03          
1.28750000e+01      8.51680164148430e-03          
1.31250000e+01      8.52908519602490e-03          
1.33750000e+01      8.47914166606996e-03          
1.36250000e+01      8.36909324698667e-03          
1.38750000e+01      8.27614828378641e-03          
1.41250000e+01      8.22464008436583e-03          
1.43750000e+01      8.14011196380831e-03          
1.46250000e+01      8.17286211434772e-03          
1.48750000e+01      7.96929322145612e-03          
1.51250000e+01      7.94073350753158e-03          
1.53750000e+01      7.90300159329123e-03          
1.56250000e+01      7.86847095680816e-03          
1.58750000e+01      7.83388636620558e-03          
1.61250000e+01      7.72808233785667e-03          
1.63750000e+01      7.72628386720651e-03          
1.66250000e+01      7.63558699231895e-03          
1.68750000e+01      7.61024654085820e-03          
1.71250000e+01      7.58023006570703e-03          
1.73750000e+01      7.47158445373087e-03          
1.76250000e+01      7.46475026526026e-03          
1.78750000e+01      7.37401742095969e-03          
1.81250000e+01      7.31310322003877e-03          
1.83750000e+01      7.23643441622246e-03          
1.86250000e+01      7.14291394241414e-03          
1.88750000e+01      7.11498369321716e-03          
1.91250000e+01      7.12615219595465e-03          
1.93750000e+01      6.97044060706380e-03          
1.96250000e+01      6.96333664799567e-03          
1.98750000e+01      6.89715292806979e-03          
2.01250000e+01      6.85292853478236e-03          
2.03750000e+01      6.75847285623596e-03          
2.06250000e+01      6.81767851003922e-03          
2.08750000e+01      6.74270026863405e-03          
2.11250000e+01      6.67592305339362e-03          
2.13750000e+01      6.49951106731943e-03          
2.16250000e+01      6.47589714768283e-03          
2.18750000e+01      6.35725203889178e-03          
2.21250000e+01      6.41645769269504e-03          
2.23750000e+01      6.33770266292454e-03          
2.26250000e+01      6.27432455721291e-03          
2.28750000e+01      6.21062272678424e-03          
2.31250000e+01      6.27689637024264e-03          
2.33750000e+01      6.15602115784539e-03          
2.36250000e+01      6.05248320251568e-03          
2.38750000e+01      5.97527485750432e-03          
2.41250000e+01      6.00816888569574e-03          
2.43750000e+01      5.86637745963713e-03          
2.46250000e+01      5.78237089556816e-03          
2.48750000e+01      5.63077780446618e-03          
