#tau                histogram                     analytic                      
1.00000000e-01      9.29677947048371e-01          9.27743486328553e-01          
3.00000000e-01      7.98291514548894e-01          7.98516218759377e-01          
5.00000000e-01      6.88098119367623e-01          6.87289278790972e-01          
7.00000000e-01      5.92455147819914e-01          5.91555364366815e-01          
9.00000000e-01      5.10049408841165e-01          5.09156420607549e-01          
1.10000000e+00      4.39424393560233e-01          4.38234992464949e-01          
1.30000000e+00      3.77906391642032e-01          3.77192353563157e-01          
1.50000000e+00      3.26643278727804e-01          3.24652467358350e-01          
1.70000000e+00      2.78803128309376e-01          2.79430968221407e-01          
1.90000000e+00      2.38488829220567e-01          2.40508463208342e-01          
2.10000000e+00      2.08017463766226e-01          2.07007552681153e-01          
2.30000000e+00      1.78671309741858e-01          1.78173051772898e-01          
2.50000000e+00      1.53962653299434e-01          1.53354966844928e-01          
2.70000000e+00      1.31271778254243e-01          1.31993843187830e-01          
2.90000000e+00      1.14310282498518e-01          1.13608153670764e-01          
3.10000000e+00      9.82206922821319e-02          9.77834440513500e-02          
3.30000000e+00      8.48374755288328e-02          8.41629902573104e-02          
3.50000000e+00      7.26961242340881e-02          7.24397570342515e-02          
3.70000000e+00      6.15713294741235e-02          6.23494766896734e-02          
3.90000000e+00      5.35481986855242e-02          5.36646919127301e-02          
4.10000000e+00      4.56457214922005e-02          4.61896283816801e-02          
4.30000000e+00      4.02863021219497e-02          3.97557815762213e-02          
4.50000000e+00      3.44082722703488e-02          3.42181183116660e-02          
4.70000000e+00      2.99620872952776e-02          2.94518073691073e-02          
4.90000000e+00      2.56018930041320e-02          2.53494055227249e-02          
5.10000000e+00      2.21569328915131e-02          2.18184355310428e-02          
5.30000000e+00      1.90426036256161e-02          1.87793014946844e-02          
5.50000000e+00      1.64915466691547e-02          1.61634945881659e-02          
5.70000000e+00      1.40231474243738e-02          1.39120487189376e-02          
5.90000000e+00      1.18127202313699e-02          1.19742113008036e-02          
6.10000000e+00      1.05121944613003e-02          1.03062991780007e-02          
6.30000000e+00      8.60706752595497e-03          8.87071390992825e-03          
6.50000000e+00      7.85248260964603e-03          7.63509421885996e-03          
6.70000000e+00      6.17199800362586e-03          6.57158649492961e-03          
6.90000000e+00      5.60539272194512e-03          5.65621691395310e-03          
7.10000000e+00      4.60216807614569e-03          4.86835101422977e-03          
7.30000000e+00      4.07422527250904e-03          4.19022854998458e-03          
7.50000000e+00      3.34163797301830e-03          3.60656313601573e-03          
7.70000000e+00      3.01367350409250e-03          3.10419765864931e-03          
7.90000000e+00      2.66504460724659e-03          2.67180768519945e-03          
8.10000000e+00      2.40573936657152e-03          2.29964618612493e-03          
8.30000000e+00      1.92512476881645e-03          1.97932381535319e-03          
8.50000000e+00      1.73247897304499e-03          1.70361979580257e-03          
8.70000000e+00      1.40984725971149e-03          1.46631914704290e-03          
8.90000000e+00      1.37985050950486e-03          1.26207258584461e-03          
9.10000000e+00      1.18053876924305e-03          1.08627594146386e-03          
9.30000000e+00      9.27232878609306e-04          9.34966367416581e-04          
9.50000000e+00      8.37909222438460e-04          8.04733010124613e-04          
9.70000000e+00      6.81926121363997e-04          6.92640120706801e-04          
9.90000000e+00      6.41263859972791e-04          5.96160876684358e-04          
