#tau                histogram                     analytic                      
1.00000000e-01      9.29003821727655e-01          9.27743486328553e-01          
3.00000000e-01      8.00249169830058e-01          7.98516218759377e-01          
5.00000000e-01      6.87259007283990e-01          6.87289278790972e-01          
7.00000000e-01      5.92376095717795e-01          5.91555364366815e-01          
9.00000000e-01      5.09336198500939e-01          5.09156420607549e-01          
1.10000000e+00      4.37912605359859e-01          4.38234992464949e-01          
1.30000000e+00      3.77275732520315e-01          3.77192353563157e-01          
1.50000000e+00      3.25046320930368e-01          3.24652467358350e-01          
1.70000000e+00      2.79359005918460e-01          2.79430968221407e-01          
1.90000000e+00      2.40246288839908e-01          2.40508463208342e-01          
2.10000000e+00      2.06720341616716e-01          2.07007552681153e-01          
2.30000000e+00      1.78524883070071e-01          1.78173051772898e-01          
2.50000000e+00      1.53114417707726e-01          1.53354966844928e-01          
2.70000000e+00      1.31661658366610e-01          1.31993843187830e-01          
2.90000000e+00      1.13809889351893e-01          1.13608153670764e-01          
3.10000000e+00      9.76599126139405e-02          9.77834440513500e-02          
3.30000000e+00      8.40626242911354e-02          8.41629902573104e-02          
3.50000000e+00      7.25299712446182e-02          7.24397570342515e-02          
3.70000000e+00      6.24004709723216e-02          6.23494766896734e-02          
3.90000000e+00      5.37439214668116e-02          5.36646919127301e-02          
4.10000000e+00      4.59846224916936e-02          4.61896283816801e-02          
4.30000000e+00      3.96809579874966e-02          3.97557815762213e-02          
4.50000000e+00      3.42122053485753e-02          3.42181183116660e-02          
4.70000000e+00      2.95043041095351e-02          2.94518073691073e-02          
4.90000000e+00      2.55124983056771e-02          2.53494055227249e-02          
5.10000000e+00      2.18203976225706e-02          2.18184355310428e-02          
5.30000000e+00      1.88371994517482e-02          1.87793014946844e-02          
5.50000000e+00      1.61529071880220e-02          1.61634945881659e-02          
5.70000000e+00      1.38032190413304e-02          1.39120487189376e-02          
5.90000000e+00      1.20334936038618e-02          1.19742113008036e-02          
6.10000000e+00      1.02584400753577e-02          1.03062991780007e-02          
6.30000000e+00      8.81106414554188e-03          8.87071390992825e-03          
6.50000000e+00      7.62076860819287e-03          7.63509421885996e-03          
6.70000000e+00      6.60150479308604e-03          6.57158649492961e-03          
6.90000000e+00      5.70851673552251e-03          5.65621691395310e-03          
7.10000000e+00      4.76864147684585e-03          4.86835101422977e-03          
7.30000000e+00      4.20519584983306e-03          4.19022854998458e-03          
7.50000000e+00      3.69583034683142e-03          3.60656313601573e-03          
7.70000000e+00      3.13451595623286e-03          3.10419765864931e-03          
7.90000000e+00      2.66058225861785e-03          2.67180768519945e-03          
8.10000000e+00      2.30759622751054e-03          2.29964618612493e-03          
8.30000000e+00      1.92424007750042e-03          1.97932381535319e-03          
8.50000000e+00      1.71244845883604e-03          1.70361979580257e-03          
8.70000000e+00      1.47614762140798e-03          1.46631914704290e-03          
8.90000000e+00      1.24277723404949e-03          1.26207258584461e-03          
9.10000000e+00      1.12262878119712e-03          1.08627594146386e-03          
9.30000000e+00      9.56658745438740e-04          9.34966367416581e-04          
9.50000000e+00      7.95217587060607e-04          8.04733010124613e-04          
9.70000000e+00      6.92918239177433e-04          6.92640120706801e-04          
9.90000000e+00      5.83958777499782e-04          5.96160876684358e-04          
