#tau                histogram                     
1.25000000e-01      6.17876236754030e-01          
3.75000000e-01      2.82284428862768e-01          
6.25000000e-01      1.63912559385879e-01          
8.75000000e-01      1.09707638563374e-01          
1.12500000e+00      8.05504249173088e-02          
1.37500000e+00      6.37946574823205e-02          
1.62500000e+00      5.30692719473227e-02          
1.87500000e+00      4.63891339861073e-02          
2.12500000e+00      4.14143683136138e-02          
2.37500000e+00      3.78843251664299e-02          
2.62500000e+00      3.52531714736078e-02          
2.87500000e+00      3.29754723365760e-02          
3.12500000e+00      3.13660902192447e-02          
3.37500000e+00      3.00524889203942e-02          
3.62500000e+00      2.89584031155947e-02          
3.87500000e+00      2.80808618263444e-02          
4.12500000e+00      2.73977818000675e-02          
4.37500000e+00      2.67179484100916e-02          
4.62500000e+00      2.60756351094435e-02          
4.87500000e+00      2.58434699852762e-02          
5.12500000e+00      2.53035482426877e-02          
5.37500000e+00      2.51437279764733e-02          
5.62500000e+00      2.46759060626829e-02          
5.87500000e+00      2.43957458528203e-02          
6.12500000e+00      2.41459998867965e-02          
6.37500000e+00      2.38924865975178e-02          
6.62500000e+00      2.36928184650051e-02          
6.87500000e+00      2.30172730852381e-02          
7.12500000e+00      2.28095496192614e-02          
7.37500000e+00      2.23239937203928e-02          
7.62500000e+00      2.19886406934129e-02          
7.87500000e+00      2.16087229889048e-02          
8.12500000e+00      2.10246041125203e-02          
8.37500000e+00      2.08092541141008e-02          
8.62500000e+00      2.04811600758316e-02          
8.87500000e+00      2.01284099788613e-02          
9.12500000e+00      1.97333617240447e-02          
9.37500000e+00      1.95424533838159e-02          
9.62500000e+00      1.92111433378901e-02          
9.87500000e+00      1.89977842013532e-02          
1.01250000e+01      1.87283133883685e-02          
1.03750000e+01      1.86593070526497e-02          
1.06250000e+01      1.83498352301449e-02          
1.08750000e+01      1.82403071979520e-02          
1.11250000e+01      1.79102222978001e-02          
1.13750000e+01      1.79090890379592e-02          
1.16250000e+01      1.78123025218156e-02          
1.18750000e+01      1.76731565905369e-02          
1.21250000e+01      1.74966130845079e-02          
1.23750000e+01      1.72573114862072e-02          
1.26250000e+01      1.71313665006431e-02          
1.28750000e+01      1.69024786414211e-02          
1.31250000e+01      1.67272521670991e-02          
1.33750000e+01      1.64428039470276e-02          
1.36250000e+01      1.62242991982401e-02          
1.38750000e+01      1.58988698520293e-02          
1.41250000e+01      1.59386258323947e-02          
1.43750000e+01      1.56817433922375e-02          
1.46250000e+01      1.53639712071141e-02          
1.48750000e+01      1.52547800900090e-02          
1.51250000e+01      1.51757275589436e-02          
1.53750000e+01      1.49321073217897e-02          
1.56250000e+01      1.49654006581973e-02          
1.58750000e+01      1.47292844389090e-02          
1.61250000e+01      1.46714881870219e-02          
1.63750000e+01      1.44401806648964e-02          
1.66250000e+01      1.43394736822761e-02          
1.68750000e+01      1.41342005078474e-02          
1.71250000e+01      1.41367733139728e-02          
1.73750000e+01      1.38759091500502e-02          
1.76250000e+01      1.37685863802505e-02          
1.78750000e+01      1.34845057039112e-02          
1.81250000e+01      1.32880535790551e-02          
1.83750000e+01      1.32176995829849e-02          
1.86250000e+01      1.29420111551973e-02          
1.88750000e+01      1.26434125014365e-02          
1.91250000e+01      1.24888909906945e-02          
1.93750000e+01      1.21803686561646e-02          
1.96250000e+01      1.19980669649978e-02          
1.98750000e+01      1.18901928795998e-02          
2.01250000e+01      1.16212121249247e-02          
2.03750000e+01      1.15931256580564e-02          
2.06250000e+01      1.14336729355742e-02          
2.08750000e+01      1.13006833618098e-02          
2.11250000e+01      1.10934193254984e-02          
2.13750000e+01      1.09832787204185e-02          
2.16250000e+01      1.08625712330382e-02          
2.18750000e+01      1.08639495220339e-02          
2.21250000e+01      1.08020796604484e-02          
2.23750000e+01      1.05339258791707e-02          
2.26250000e+01      1.05451665916469e-02          
2.28750000e+01      1.04959769888220e-02          
2.31250000e+01      1.05545389568178e-02          
2.33750000e+01      1.03277338454116e-02          
2.36250000e+01      1.02785136139424e-02          
2.38750000e+01      1.02912857586360e-02          
2.41250000e+01      1.03322975134196e-02          
2.43750000e+01      1.03411185629922e-02          
2.46250000e+01      1.05539570125751e-02          
2.48750000e+01      1.06199923697921e-02          
