#tau                histogram                     analytic                      
1.00000000e-01      9.95648955691855e-01          9.95012479192682e-01          
3.00000000e-01      9.84861879793463e-01          9.85111939603063e-01          
5.00000000e-01      9.76875650574521e-01          9.75309912028333e-01          
7.00000000e-01      9.63051818532350e-01          9.65605416257566e-01          
9.00000000e-01      9.54623837277260e-01          9.55997481833100e-01          
1.10000000e+00      9.45439558033582e-01          9.46485147953484e-01          
1.30000000e+00      9.39310537636769e-01          9.37067463377403e-01          
1.50000000e+00      9.28796376608877e-01          9.27743486328553e-01          
1.70000000e+00      9.17065662853165e-01          9.18512284401457e-01          
1.90000000e+00      9.09016987011312e-01          9.09372934468231e-01          
2.10000000e+00      9.01347616582695e-01          9.00324522586266e-01          
2.30000000e+00      8.92706854242131e-01          8.91366143906831e-01          
2.50000000e+00      8.81704684420380e-01          8.82496902584595e-01          
2.70000000e+00      8.74865622792690e-01          8.73715911688034e-01          
2.90000000e+00      8.67126867227506e-01          8.65022293110741e-01          
3.10000000e+00      8.54653732510519e-01          8.56415177483614e-01          
3.30000000e+00      8.47807732369173e-01          8.47893704087916e-01          
3.50000000e+00      8.39123026108783e-01          8.39457020769207e-01          
3.70000000e+00      8.29617262399008e-01          8.31104283852126e-01          
3.90000000e+00      8.20553250725381e-01          8.22834658056018e-01          
4.10000000e+00      8.14611570197300e-01          8.14647316411415e-01          
4.30000000e+00      8.05924551099024e-01          8.06541440177327e-01          
4.50000000e+00      7.97258347541719e-01          7.98516218759377e-01          
4.70000000e+00      7.91994328514116e-01          7.90570849628736e-01          
4.90000000e+00      7.78491980938042e-01          7.82704538241868e-01          
5.10000000e+00      7.74199353822386e-01          7.74916497961081e-01          
5.30000000e+00      7.66391213120635e-01          7.67205949975856e-01          
5.50000000e+00      7.57234687931584e-01          7.59572123224969e-01          
5.70000000e+00      7.52842608786849e-01          7.52014254319383e-01          
5.90000000e+00      7.42196615999478e-01          7.44531587465909e-01          
6.10000000e+00      7.35463944914526e-01          7.37123374391628e-01          
6.30000000e+00      7.29307170463085e-01          7.29788874269057e-01          
6.50000000e+00      7.22014792609820e-01          7.22527353642072e-01          
6.70000000e+00      7.13452666757366e-01          7.15338086352560e-01          
6.90000000e+00      7.08096134214340e-01          7.08220353467800e-01          
7.10000000e+00      6.98810090103696e-01          7.01173443208572e-01          
7.30000000e+00      6.92292512942103e-01          6.94196650877979e-01          
7.50000000e+00      6.86831902694225e-01          6.87289278790972e-01          
7.70000000e+00      6.80485475536167e-01          6.80450636204588e-01          
7.90000000e+00      6.73359622010664e-01          6.73680039248868e-01          
8.10000000e+00      6.67737113110795e-01          6.66976810858474e-01          
8.30000000e+00      6.59110227797544e-01          6.60340280704983e-01          
8.50000000e+00      6.54567814190245e-01          6.53769785129847e-01          
8.70000000e+00      6.46761986326379e-01          6.47264667078035e-01          
8.90000000e+00      6.40020063889884e-01          6.40824276032319e-01          
9.10000000e+00      6.33430788753839e-01          6.34447967948228e-01          
9.30000000e+00      6.26996473756127e-01          6.28135105189641e-01          
9.50000000e+00      6.20400260106425e-01          6.21885056465020e-01          
9.70000000e+00      6.14712991745759e-01          6.15697196764285e-01          
9.90000000e+00      6.09048851763949e-01          6.09570907296309e-01          
