#tau                histogram                     analytic                      
1.00000000e-01      9.24574433420513e-01          9.27743486328553e-01          
3.00000000e-01      8.17174372972676e-01          7.98516218759377e-01          
5.00000000e-01      6.63078634069257e-01          6.87289278790972e-01          
7.00000000e-01      5.53010249138243e-01          5.91555364366815e-01          
9.00000000e-01      5.49674843534273e-01          5.09156420607549e-01          
1.10000000e+00      4.74294676884549e-01          4.38234992464949e-01          
1.30000000e+00      3.69562940919888e-01          3.77192353563157e-01          
1.50000000e+00      3.26869749189070e-01          3.24652467358350e-01          
1.70000000e+00      2.74170340646343e-01          2.79430968221407e-01          
1.90000000e+00      2.72169097283961e-01          2.40508463208342e-01          
2.10000000e+00      1.95454768392648e-01          2.07007552681153e-01          
2.30000000e+00      1.75442334768828e-01          1.78173051772898e-01          
2.50000000e+00      1.42755359849920e-01          1.53354966844928e-01          
2.70000000e+00      1.62100712352947e-01          1.31993843187830e-01          
2.90000000e+00      9.67267625151331e-02          1.13608153670764e-01          
3.10000000e+00      9.20571946695749e-02          9.77834440513500e-02          
3.30000000e+00      9.27242757903689e-02          8.41629902573104e-02          
3.50000000e+00      5.53677330259037e-02          7.24397570342515e-02          
3.70000000e+00      6.00373008714619e-02          6.23494766896734e-02          
3.90000000e+00      3.93577861268472e-02          5.36646919127301e-02          
4.10000000e+00      6.40397875962260e-02          4.61896283816801e-02          
4.30000000e+00      2.60161637109668e-02          3.97557815762213e-02          
4.50000000e+00      4.13590294892293e-02          3.42181183116660e-02          
4.70000000e+00      4.06919483684353e-02          2.94518073691073e-02          
4.90000000e+00      6.00373008714619e-03          2.53494055227249e-02          
5.10000000e+00      2.00124336238206e-02          2.18184355310428e-02          
5.30000000e+00      3.93577861268472e-02          1.87793014946844e-02          
5.50000000e+00      1.86782713822326e-02          1.61634945881659e-02          
5.70000000e+00      8.00497344952825e-03          1.39120487189376e-02          
5.90000000e+00      6.67081120794021e-03          1.19742113008036e-02          
6.10000000e+00      8.67205457032227e-03          1.03062991780007e-02          
6.30000000e+00      6.67081120794021e-03          8.87071390992825e-03          
6.50000000e+00      2.00124336238206e-03          7.63509421885996e-03          
6.70000000e+00      6.67081120794021e-04          6.57158649492961e-03          
6.90000000e+00      7.33789232873423e-03          5.65621691395310e-03          
7.10000000e+00      0.00000000000000e+00          4.86835101422977e-03          
7.30000000e+00      0.00000000000000e+00          4.19022854998458e-03          
7.50000000e+00      6.67081120794021e-04          3.60656313601573e-03          
7.70000000e+00      7.33789232873423e-03          3.10419765864931e-03          
7.90000000e+00      0.00000000000000e+00          2.67180768519945e-03          
8.10000000e+00      7.33789232873423e-03          2.29964618612493e-03          
8.30000000e+00      6.67081120794021e-04          1.97932381535319e-03          
8.50000000e+00      1.33416224158804e-03          1.70361979580257e-03          
8.70000000e+00      4.66956784555815e-03          1.46631914704290e-03          
8.90000000e+00      2.00124336238206e-03          1.26207258584461e-03          
9.10000000e+00      0.00000000000000e+00          1.08627594146386e-03          
9.30000000e+00      0.00000000000000e+00          9.34966367416581e-04          
9.50000000e+00      9.33913569111629e-03          8.04733010124613e-04          
9.70000000e+00      0.00000000000000e+00          6.92640120706801e-04          
9.90000000e+00      4.66956784555815e-03          5.96160876684358e-04          
