#tau                histogram                     
1.25000000e-01      7.56851224590792e-01          
3.75000000e-01      4.93676168957056e-01          
6.25000000e-01      3.69106299405817e-01          
8.75000000e-01      3.00511356892389e-01          
1.12500000e+00      2.57244276692248e-01          
1.37500000e+00      2.28772862368418e-01          
1.62500000e+00      2.08706774268103e-01          
1.87500000e+00      1.94587950380307e-01          
2.12500000e+00      1.84548960822564e-01          
2.37500000e+00      1.77534072622970e-01          
2.62500000e+00      1.70484862629588e-01          
2.87500000e+00      1.65974924875809e-01          
3.12500000e+00      1.63057707529023e-01          
3.37500000e+00      1.60058063827078e-01          
3.62500000e+00      1.56475490131430e-01          
3.87500000e+00      1.54857231066855e-01          
4.12500000e+00      1.52396601677584e-01          
4.37500000e+00      1.50771316104045e-01          
4.62500000e+00      1.48954558161225e-01          
4.87500000e+00      1.46663645988480e-01          
5.12500000e+00      1.45017686263564e-01          
5.37500000e+00      1.43858177159262e-01          
5.62500000e+00      1.42395852543629e-01          
5.87500000e+00      1.42199921043659e-01          
6.12500000e+00      1.39890496722296e-01          
6.37500000e+00      1.38940972135892e-01          
6.62500000e+00      1.37707279311947e-01          
6.87500000e+00      1.36488450256965e-01          
7.12500000e+00      1.35425285400579e-01          
7.37500000e+00      1.34213347729389e-01          
7.62500000e+00      1.33128427720248e-01          
7.87500000e+00      1.31710018785642e-01          
8.12500000e+00      1.30506188624795e-01          
8.37500000e+00      1.29502613969435e-01          
8.62500000e+00      1.29695842965956e-01          
8.87500000e+00      1.27846384731418e-01          
9.12500000e+00      1.27889489661411e-01          
9.37500000e+00      1.26853349839504e-01          
9.62500000e+00      1.26598503764371e-01          
9.87500000e+00      1.26125295410652e-01          
1.01250000e+01      1.24483524566081e-01          
1.03750000e+01      1.24590813952960e-01          
1.06250000e+01      1.23309692193505e-01          
1.08750000e+01      1.22582718766033e-01          
1.11250000e+01      1.22087620134386e-01          
1.13750000e+01      1.20962297698699e-01          
1.16250000e+01      1.19947642779203e-01          
1.18750000e+01      1.19670906426142e-01          
1.21250000e+01      1.18753001130079e-01          
1.23750000e+01      1.18428565591164e-01          
1.26250000e+01      1.16855303208996e-01          
1.28750000e+01      1.16414254646306e-01          
1.31250000e+01      1.15886590848113e-01          
1.33750000e+01      1.14776132181389e-01          
1.36250000e+01      1.13719453333279e-01          
1.38750000e+01      1.13259216996109e-01          
1.41250000e+01      1.12029037426646e-01          
1.43750000e+01      1.11574341221545e-01          
1.46250000e+01      1.11693251373250e-01          
1.48750000e+01      1.09951217650763e-01          
1.51250000e+01      1.09157222137784e-01          
1.53750000e+01      1.08223236946206e-01          
1.56250000e+01      1.07424241801848e-01          
1.58750000e+01      1.06896713128827e-01          
1.61250000e+01      1.05619509999371e-01          
1.63750000e+01      1.05119411736345e-01          
1.66250000e+01      1.04326632349918e-01          
1.68750000e+01      1.03641953101404e-01          
1.71250000e+01      1.02636621818802e-01          
1.73750000e+01      1.01335636659005e-01          
1.76250000e+01      1.00643525526010e-01          
1.78750000e+01      1.00263418416069e-01          
1.81250000e+01      9.89323003428288e-02          
1.83750000e+01      9.77125254116399e-02          
1.86250000e+01      9.64927504804511e-02          
1.88750000e+01      9.60190016260423e-02          
1.91250000e+01      9.60327843936263e-02          
1.93750000e+01      9.51858198130689e-02          
1.96250000e+01      9.44435772411158e-02          
1.98750000e+01      9.31719142437282e-02          
2.01250000e+01      9.17447221729165e-02          
2.03750000e+01      9.19691650842608e-02          
2.06250000e+01      9.05742679296510e-02          
2.08750000e+01      9.04703566720810e-02          
2.11250000e+01      8.93267923381217e-02          
2.13750000e+01      8.88514219816442e-02          
2.16250000e+01      8.80214831728082e-02          
2.18750000e+01      8.74720642218595e-02          
2.21250000e+01      8.61866184568878e-02          
2.23750000e+01      8.56336862514569e-02          
2.26250000e+01      8.48249620946866e-02          
2.28750000e+01      8.45232275847338e-02          
2.31250000e+01      8.34047965328394e-02          
2.33750000e+01      8.24310845405777e-02          
2.36250000e+01      8.23485230602457e-02          
2.38750000e+01      8.16341162738055e-02          
2.41250000e+01      8.06170291012057e-02          
2.43750000e+01      8.07098600946395e-02          
2.46250000e+01      8.04648781570916e-02          
2.48750000e+01      7.98258712168465e-02          
