#tau                histogram                     
1.25000000e-01      8.42500029085155e-01          
3.75000000e-01      6.26025465051368e-01          
6.25000000e-01      4.87990945524244e-01          
8.75000000e-01      3.91919870370949e-01          
1.12500000e+00      3.22364070979422e-01          
1.37500000e+00      2.69490691676564e-01          
1.62500000e+00      2.27786252121577e-01          
1.87500000e+00      1.95402860870733e-01          
2.12500000e+00      1.67798389793197e-01          
2.37500000e+00      1.46223918226462e-01          
2.62500000e+00      1.26896110326860e-01          
2.87500000e+00      1.11436739167410e-01          
3.12500000e+00      9.83276912981519e-02          
3.37500000e+00      8.66887253559238e-02          
3.62500000e+00      7.67925969258914e-02          
3.87500000e+00      6.81401916541664e-02          
4.12500000e+00      6.00576739112575e-02          
4.37500000e+00      5.35293773998100e-02          
4.62500000e+00      4.76648678809243e-02          
4.87500000e+00      4.24383746876432e-02          
5.12500000e+00      3.78657160091998e-02          
5.37500000e+00      3.37444286393302e-02          
5.62500000e+00      3.01156687178022e-02          
5.87500000e+00      2.69822729411652e-02          
6.12500000e+00      2.41819726508725e-02          
6.37500000e+00      2.14960537350042e-02          
6.62500000e+00      1.90929871208339e-02          
6.87500000e+00      1.71065302626066e-02          
7.12500000e+00      1.52594080925181e-02          
7.37500000e+00      1.37261495677608e-02          
7.62500000e+00      1.23766512838823e-02          
7.87500000e+00      1.11088883243088e-02          
8.12500000e+00      1.00291646902394e-02          
8.37500000e+00      8.86525367213584e-03          
8.62500000e+00      7.91943173111908e-03          
8.87500000e+00      7.10496326422076e-03          
9.12500000e+00      6.30886120548980e-03          
9.37500000e+00      5.80989109040888e-03          
9.62500000e+00      5.07576363934214e-03          
9.87500000e+00      4.61482448986433e-03          
1.01250000e+01      4.11643133001380e-03          
1.03750000e+01      3.68462841967059e-03          
1.06250000e+01      3.32730081365003e-03          
1.08750000e+01      2.89636333615241e-03          
1.11250000e+01      2.59177905410986e-03          
1.13750000e+01      2.35498701163794e-03          
1.16250000e+01      2.10641546654560e-03          
1.18750000e+01      1.90938525536795e-03          
1.21250000e+01      1.72817323342345e-03          
1.23750000e+01      1.49316013624524e-03          
1.26250000e+01      1.38358672207397e-03          
1.28750000e+01      1.27973478060405e-03          
1.31250000e+01      1.14290023179693e-03          
1.33750000e+01      1.00683495663033e-03          
1.36250000e+01      9.03511890788269e-04          
1.38750000e+01      8.00381143356339e-04          
1.41250000e+01      7.26819351481815e-04          
1.43750000e+01      6.53738355632615e-04          
1.46250000e+01      6.10610952161080e-04          
1.48750000e+01      5.25413896473723e-04          
1.51250000e+01      4.47524940371286e-04          
1.53750000e+01      4.22763945067116e-04          
1.56250000e+01      3.82088601324733e-04          
1.58750000e+01      3.36076421701256e-04          
1.61250000e+01      3.03863088004569e-04          
1.63750000e+01      2.77275067804169e-04          
1.66250000e+01      2.64726291543221e-04          
1.68750000e+01      2.26406848324923e-04          
1.71250000e+01      2.01261216200495e-04          
1.73750000e+01      1.74192399974771e-04          
1.76250000e+01      1.62124419739147e-04          
1.78750000e+01      1.57749175908701e-04          
1.81250000e+01      1.42075225483149e-04          
1.83750000e+01      1.11929314695354e-04          
1.86250000e+01      1.00486369292650e-04          
1.88750000e+01      9.07262099785794e-05          
1.91250000e+01      9.22166776570828e-05          
1.93750000e+01      8.07737322543791e-05          
1.96250000e+01      6.31285181249999e-05          
1.98750000e+01      4.87046373652893e-05          
2.01250000e+01      4.44255527399085e-05          
2.03750000e+01      3.86560004360243e-05          
2.06250000e+01      3.59154630916793e-05          
2.08750000e+01      3.89925576537509e-05          
2.11250000e+01      3.19729356840251e-05          
2.13750000e+01      3.10113436333777e-05          
2.16250000e+01      2.56745077522848e-05          
2.18750000e+01      1.94241594230769e-05          
2.21250000e+01      1.97607166408035e-05          
2.23750000e+01      1.33661295039985e-05          
2.26250000e+01      1.28372538761424e-05          
2.28750000e+01      9.61592050647371e-06          
2.31250000e+01      1.00486369292650e-05          
2.33750000e+01      4.71180104817212e-06          
2.36250000e+01      7.83697521277607e-06          
2.38750000e+01      6.92346276466107e-06          
2.41250000e+01      8.22161203303502e-06          
2.43750000e+01      3.94252740765422e-06          
2.46250000e+01      5.72147270135186e-06          
2.48750000e+01      3.22133336966869e-06          
