#tau                histogram                     
1.25000000e-01      4.93298876880029e-01          
3.75000000e-01      1.41126634194293e-01          
6.25000000e-01      5.73629521945396e-02          
8.75000000e-01      2.88052710588439e-02          
1.12500000e+00      1.66900640194041e-02          
1.37500000e+00      1.08205994412859e-02          
1.62500000e+00      7.60499643940910e-03          
1.87500000e+00      5.79546060108903e-03          
2.12500000e+00      4.52445699560855e-03          
2.37500000e+00      3.73663804014755e-03          
2.62500000e+00      3.20880740398618e-03          
2.87500000e+00      2.86118191188913e-03          
3.12500000e+00      2.55323800747492e-03          
3.37500000e+00      2.33555207504464e-03          
3.62500000e+00      2.21287851312251e-03          
3.87500000e+00      2.06482855907722e-03          
4.12500000e+00      1.93541819924619e-03          
4.37500000e+00      1.83671822988266e-03          
4.62500000e+00      1.72419186481084e-03          
4.87500000e+00      1.64965868794594e-03          
5.12500000e+00      1.53813192256385e-03          
5.37500000e+00      1.44944475009235e-03          
5.62500000e+00      1.36255517706287e-03          
5.87500000e+00      1.30009279645120e-03          
6.12500000e+00      1.23705921601682e-03          
6.37500000e+00      1.18233323300376e-03          
6.62500000e+00      1.12849764971433e-03          
6.87500000e+00      1.09121006128840e-03          
7.12500000e+00      1.05062967388455e-03          
7.37500000e+00      9.96449690702016e-04          
7.62500000e+00      9.76516496889279e-04          
7.87500000e+00      9.16624515479750e-04          
8.12500000e+00      8.88551724193545e-04          
8.37500000e+00      8.28180942932635e-04          
8.62500000e+00      8.13741347414686e-04          
8.87500000e+00      7.70993760683537e-04          
9.12500000e+00      7.39871770343802e-04          
9.37500000e+00      7.09606579738118e-04          
9.62500000e+00      7.05398181044405e-04          
9.87500000e+00      6.76476990021542e-04          
1.01250000e+01      6.85548987205594e-04          
1.03750000e+01      6.74771790550836e-04          
1.06250000e+01      6.69950192047460e-04          
1.08750000e+01      6.51604597741933e-04          
1.11250000e+01      6.50117798203435e-04          
1.13750000e+01      6.35888202620302e-04          
1.16250000e+01      6.37173402221376e-04          
1.18750000e+01      6.39122201616469e-04          
1.21250000e+01      6.28731404841772e-04          
1.23750000e+01      6.24943006017691e-04          
1.26250000e+01      6.08453811135937e-04          
1.28750000e+01      6.28781804826128e-04          
1.31250000e+01      6.00087413732867e-04          
1.33750000e+01      6.14065009394221e-04          
1.36250000e+01      6.31444603999595e-04          
1.38750000e+01      6.33662203311252e-04          
1.41250000e+01      6.33973003214780e-04          
1.43750000e+01      6.33040603504197e-04          
1.46250000e+01      6.30386204328122e-04          
1.48750000e+01      6.19760207626431e-04          
1.51250000e+01      6.22154206883334e-04          
1.53750000e+01      6.20524607389162e-04          
1.56250000e+01      6.05203012144985e-04          
1.58750000e+01      6.02321813039309e-04          
1.61250000e+01      5.59389426365522e-04          
1.63750000e+01      5.62942625262609e-04          
1.66250000e+01      5.19103038870417e-04          
1.68750000e+01      5.13155840716427e-04          
1.71250000e+01      4.68005854730983e-04          
1.73750000e+01      4.58421457705979e-04          
1.76250000e+01      4.36379864547690e-04          
1.78750000e+01      4.32070665885265e-04          
1.81250000e+01      4.12834671856118e-04          
1.83750000e+01      4.06400273853355e-04          
1.86250000e+01      4.21856269055814e-04          
1.88750000e+01      4.11515872265473e-04          
1.91250000e+01      4.19210269877132e-04          
1.93750000e+01      4.23964668401367e-04          
1.96250000e+01      4.33490265444622e-04          
1.98750000e+01      4.35128264936186e-04          
2.01250000e+01      4.20142669587715e-04          
2.03750000e+01      4.16740670643696e-04          
2.06250000e+01      4.02578275039703e-04          
2.08750000e+01      3.94539477534946e-04          
2.11250000e+01      3.65089086676347e-04          
2.13750000e+01      3.57671888978646e-04          
2.16250000e+01      3.33563896461767e-04          
2.18750000e+01      3.05087905300714e-04          
2.21250000e+01      2.93529508888440e-04          
2.23750000e+01      2.66909917151162e-04          
2.26250000e+01      2.44162724211890e-04          
2.28750000e+01      2.08429135303596e-04          
2.31250000e+01      1.93880339819542e-04          
2.33750000e+01      1.72225146541315e-04          
2.36250000e+01      1.50309553343915e-04          
2.38750000e+01      1.32535158861087e-04          
2.41250000e+01      1.05688767194207e-04          
2.43750000e+01      9.06527718613796e-05          
2.46250000e+01      7.65491762391357e-05          
2.48750000e+01      6.30839804187325e-05          
