#tau                histogram                     
1.50000000e-01      7.96922264653628e-01          
4.50000000e-01      5.67435684532401e-01          
7.50000000e-01      4.51953182720122e-01          
1.05000000e+00      3.86471185291279e-01          
1.35000000e+00      3.38369392656980e-01          
1.65000000e+00      3.06513176723534e-01          
1.95000000e+00      2.83256444986974e-01          
2.25000000e+00      2.62772132744125e-01          
2.55000000e+00      2.47074113351451e-01          
2.85000000e+00      2.33789888756816e-01          
3.15000000e+00      2.22546943540925e-01          
3.45000000e+00      2.12766184698727e-01          
3.75000000e+00      2.03068864054503e-01          
4.05000000e+00      1.94641699915522e-01          
4.35000000e+00      1.86035082644343e-01          
4.65000000e+00      1.78895062990171e-01          
4.95000000e+00      1.71726698751310e-01          
5.25000000e+00      1.64846848596327e-01          
5.55000000e+00      1.58395733748812e-01          
5.85000000e+00      1.51798860159506e-01          
6.15000000e+00      1.46773797033019e-01          
6.45000000e+00      1.40742688862586e-01          
6.75000000e+00      1.35157679404149e-01          
7.05000000e+00      1.30126234053294e-01          
7.35000000e+00      1.25459138628795e-01          
7.65000000e+00      1.20554586915352e-01          
7.95000000e+00      1.16322515166446e-01          
8.25000000e+00      1.11840879673548e-01          
8.55000000e+00      1.07920222931247e-01          
8.85000000e+00      1.03079305748992e-01          
9.15000000e+00      9.95293811574129e-02          
9.45000000e+00      9.55616085822867e-02          
9.75000000e+00      9.19442013536525e-02          
1.00500000e+01      8.87036269313845e-02          
1.03500000e+01      8.51868335927689e-02          
1.06500000e+01      8.19173514483687e-02          
1.09500000e+01      7.90001117752742e-02          
1.12500000e+01      7.59281031612835e-02          
1.15500000e+01      7.29929369462175e-02          
1.18500000e+01      7.02364730134231e-02          
1.21500000e+01      6.78306559958428e-02          
1.24500000e+01      6.49181091347828e-02          
1.27500000e+01      6.30229639227911e-02          
1.30500000e+01      6.05276080515935e-02          
1.33500000e+01      5.81614922238246e-02          
1.36500000e+01      5.56460511171196e-02          
1.39500000e+01      5.39643349964547e-02          
1.42500000e+01      5.14776138994004e-02          
1.45500000e+01      4.96679717226765e-02          
1.48500000e+01      4.80306496038574e-02          
1.51500000e+01      4.59204797444473e-02          
1.54500000e+01      4.41409654209845e-02          
1.57500000e+01      4.30170369387341e-02          
1.60500000e+01      4.11649717412187e-02          
1.63500000e+01      3.95580590443829e-02          
1.66500000e+01      3.81967681294301e-02          
1.69500000e+01      3.63764263412675e-02          
1.72500000e+01      3.50475158293524e-02          
1.75500000e+01      3.34324376395767e-02          
1.78500000e+01      3.22452500511019e-02          
1.81500000e+01      3.09682420402878e-02          
1.84500000e+01      2.99130163262217e-02          
1.87500000e+01      2.88186525597884e-02          
1.90500000e+01      2.78527779868582e-02          
1.93500000e+01      2.64583558189422e-02          
1.96500000e+01      2.54285651461028e-02          
1.99500000e+01      2.45176903302164e-02          
2.02500000e+01      2.33966713914274e-02          
2.05500000e+01      2.24261040064627e-02          
2.08500000e+01      2.14178064127412e-02          
2.11500000e+01      2.07168880072759e-02          
2.14500000e+01      1.97993493983006e-02          
2.17500000e+01      1.91487379378447e-02          
2.20500000e+01      1.84946537964832e-02          
2.23500000e+01      1.77679249248286e-02          
2.26500000e+01      1.69964266263652e-02          
2.29500000e+01      1.63738781818753e-02          
2.32500000e+01      1.55583613065289e-02          
2.35500000e+01      1.48788421239407e-02          
2.38500000e+01      1.42913020572278e-02          
2.41500000e+01      1.37695552152378e-02          
2.44500000e+01      1.30688245222540e-02          
2.47500000e+01      1.26326745717724e-02          
2.50500000e+01      1.21666783367516e-02          
2.53500000e+01      1.17186086437025e-02          
2.56500000e+01      1.10872377125878e-02          
2.59500000e+01      1.07553620455116e-02          
2.62500000e+01      1.04290238966361e-02          
2.65500000e+01      9.94031445136862e-03          
2.68500000e+01      9.30030874611055e-03          
2.71500000e+01      8.96777608534953e-03          
2.74500000e+01      8.73304162738642e-03          
2.77500000e+01      8.38295784961657e-03          
2.80500000e+01      8.03878701501013e-03          
2.83500000e+01      7.59559784647682e-03          
2.86500000e+01      7.37860221800392e-03          
2.89500000e+01      6.85863864458704e-03          
2.92500000e+01      6.54346938835348e-03          
2.95500000e+01      6.43656713020875e-03          
2.98500000e+01      5.99131312438028e-03          
