#tau                histogram                     
1.50000000e-01      8.92936851907237e-01          
4.50000000e-01      7.66888722504486e-01          
7.50000000e-01      6.59412219956698e-01          
1.05000000e+00      6.24310759140767e-01          
1.35000000e+00      5.76545838141862e-01          
1.65000000e+00      5.47417707600919e-01          
1.95000000e+00      5.25587900595962e-01          
2.25000000e+00      5.07146600946999e-01          
2.55000000e+00      4.89118004117034e-01          
2.85000000e+00      4.59859546370092e-01          
3.15000000e+00      4.44871917680122e-01          
3.45000000e+00      4.26995369257157e-01          
3.75000000e+00      4.17199107606176e-01          
4.05000000e+00      4.14201581868182e-01          
4.35000000e+00      3.99083625972212e-01          
4.65000000e+00      3.85377548141239e-01          
4.95000000e+00      3.83835342870242e-01          
5.25000000e+00      3.71714912712266e-01          
5.55000000e+00      3.70194428642269e-01          
5.85000000e+00      3.59464155348290e-01          
6.15000000e+00      3.55923599585297e-01          
6.45000000e+00      3.41913424940325e-01          
6.75000000e+00      3.28120462305352e-01          
7.05000000e+00      3.17259861805374e-01          
7.35000000e+00      3.08701708611390e-01          
7.65000000e+00      2.98883725759410e-01          
7.95000000e+00      3.11677513148385e-01          
8.25000000e+00      2.90369014967427e-01          
8.55000000e+00      2.80659638120446e-01          
8.85000000e+00      2.88305500872431e-01          
9.15000000e+00      2.73708853800460e-01          
9.45000000e+00      2.61892520456483e-01          
9.75000000e+00      2.53399530865500e-01          
1.00500000e+01      2.59199091532488e-01          
1.03500000e+01      2.46513910148513e-01          
1.06500000e+01      2.45406128897515e-01          
1.09500000e+01      2.36196339673534e-01          
1.12500000e+01      2.21860347013562e-01          
1.15500000e+01      2.30787760624544e-01          
1.18500000e+01      2.12259576171581e-01          
1.21500000e+01      2.02615362927600e-01          
1.24500000e+01      2.00117424812605e-01          
1.27500000e+01      2.09566147247586e-01          
1.30500000e+01      1.90885914387623e-01          
1.33500000e+01      1.84890862911635e-01          
1.36500000e+01      1.79026138641646e-01          
1.39500000e+01      1.67731114121669e-01          
1.42500000e+01      1.71228227482662e-01          
1.45500000e+01      1.70663476256663e-01          
1.48500000e+01      1.63604085931677e-01          
1.51500000e+01      1.57109446832690e-01          
1.54500000e+01      1.58282391686687e-01          
1.57500000e+01      1.45206228684713e-01          
1.60500000e+01      1.49094323663706e-01          
1.63500000e+01      1.40427564464723e-01          
1.66500000e+01      1.39189456007725e-01          
1.69500000e+01      1.31369823647741e-01          
1.72500000e+01      1.29371473155745e-01          
1.75500000e+01      1.25830917392752e-01          
1.78500000e+01      1.28328855507747e-01          
1.81500000e+01      1.21247743981761e-01          
1.84500000e+01      1.21942822413759e-01          
1.87500000e+01      1.06890030120789e-01          
1.90500000e+01      1.08844938210785e-01          
1.93500000e+01      1.05217497643792e-01          
1.96500000e+01      1.05174055241792e-01          
1.99500000e+01      9.64638536408095e-02          
2.02500000e+01      1.01828990287799e-01          
2.05500000e+01      9.82449921228060e-02          
2.08500000e+01      9.11856017978200e-02          
2.11500000e+01      9.19892862348183e-02          
2.14500000e+01      8.41262114728339e-02          
2.17500000e+01      8.71889008138278e-02          
2.20500000e+01      8.00860680868419e-02          
2.23500000e+01      8.08028677198405e-02          
2.26500000e+01      7.42430650178534e-02          
2.29500000e+01      7.27877445508563e-02          
2.32500000e+01      7.13541452848591e-02          
2.35500000e+01      7.32656109728553e-02          
2.38500000e+01      7.32438897718554e-02          
2.41500000e+01      6.91820251848634e-02          
2.44500000e+01      6.66840870698683e-02          
2.47500000e+01      6.67709718738682e-02          
2.50500000e+01      6.25570588798765e-02          
2.53500000e+01      6.11451808148793e-02          
2.56500000e+01      5.25653064198962e-02          
2.59500000e+01      5.66271710068882e-02          
2.62500000e+01      5.20874399978971e-02          
2.65500000e+01      4.60055037179092e-02          
2.68500000e+01      5.21091611988971e-02          
2.71500000e+01      4.91985202649029e-02          
2.74500000e+01      4.95677806819021e-02          
2.77500000e+01      5.03714651189005e-02          
2.80500000e+01      4.81993450189048e-02          
2.83500000e+01      4.06838094729197e-02          
2.86500000e+01      4.63096005319086e-02          
2.89500000e+01      4.60706673209090e-02          
2.92500000e+01      4.08793002819193e-02          
2.95500000e+01      4.79386906069054e-02          
2.98500000e+01      4.03797126589203e-02          
