#tau                histogram                     
1.50000000e-01      8.89956015185193e-01          
4.50000000e-01      7.52304050526590e-01          
7.50000000e-01      6.75487119346443e-01          
1.05000000e+00      6.18123655182842e-01          
1.35000000e+00      5.77511618415043e-01          
1.65000000e+00      5.51596673835022e-01          
1.95000000e+00      5.26605119767458e-01          
2.25000000e+00      5.05816537907832e-01          
2.55000000e+00      4.87725483621492e-01          
2.85000000e+00      4.74356512603233e-01          
3.15000000e+00      4.60973328635478e-01          
3.45000000e+00      4.47191279672358e-01          
3.75000000e+00      4.33674990304567e-01          
4.05000000e+00      4.21505321500875e-01          
4.35000000e+00      4.10139925156727e-01          
4.65000000e+00      3.99638360298579e-01          
4.95000000e+00      3.91729643512671e-01          
5.25000000e+00      3.80602708876724e-01          
5.55000000e+00      3.70162733466391e-01          
5.85000000e+00      3.62493832002922e-01          
6.15000000e+00      3.52719834797517e-01          
6.45000000e+00      3.44283208458922e-01          
6.75000000e+00      3.34618854006767e-01          
7.05000000e+00      3.27185932625397e-01          
7.35000000e+00      3.18958214084148e-01          
7.65000000e+00      3.11253893048127e-01          
7.95000000e+00      3.04241043285178e-01          
8.25000000e+00      2.96588836397307e-01          
8.55000000e+00      2.88639285581896e-01          
8.85000000e+00      2.82127273086882e-01          
9.15000000e+00      2.74415055967808e-01          
9.45000000e+00      2.68391021405470e-01          
9.75000000e+00      2.62651922640160e-01          
1.00500000e+01      2.54791033557316e-01          
1.03500000e+01      2.48591931553575e-01          
1.06500000e+01      2.42336880161343e-01          
1.09500000e+01      2.35159340666145e-01          
1.12500000e+01      2.29529207846967e-01          
1.15500000e+01      2.24602277624253e-01          
1.18500000e+01      2.17572507683333e-01          
1.21500000e+01      2.12820419299651e-01          
1.24500000e+01      2.07128245827913e-01          
1.27500000e+01      2.02109044234666e-01          
1.30500000e+01      1.98167545176970e-01          
1.33500000e+01      1.92141480193276e-01          
1.36500000e+01      1.88593882878739e-01          
1.39500000e+01      1.83507902983101e-01          
1.42500000e+01      1.79334259083646e-01          
1.45500000e+01      1.74851314330885e-01          
1.48500000e+01      1.71206707995983e-01          
1.51500000e+01      1.65970251317591e-01          
1.54500000e+01      1.63023207519830e-01          
1.57500000e+01      1.58447765794163e-01          
1.60500000e+01      1.55153294342068e-01          
1.63500000e+01      1.51149303427067e-01          
1.66500000e+01      1.47888672330914e-01          
1.69500000e+01      1.43904985629478e-01          
1.72500000e+01      1.40841982212024e-01          
1.75500000e+01      1.37082093064547e-01          
1.78500000e+01      1.34384565491262e-01          
1.81500000e+01      1.30719880545167e-01          
1.84500000e+01      1.27797427406057e-01          
1.87500000e+01      1.24955514314088e-01          
1.90500000e+01      1.21959063596652e-01          
1.93500000e+01      1.18830184286298e-01          
1.96500000e+01      1.15837343206830e-01          
1.99500000e+01      1.13535973400433e-01          
2.02500000e+01      1.11224225884881e-01          
2.05500000e+01      1.07231966293272e-01          
2.08500000e+01      1.05412483155483e-01          
2.11500000e+01      1.02361211061422e-01          
2.14500000e+01      9.98335620749628e-02          
2.17500000e+01      9.80039268303910e-02          
2.20500000e+01      9.58406256762356e-02          
2.23500000e+01      9.33646396331806e-02          
2.26500000e+01      9.14129535048463e-02          
2.29500000e+01      8.92859743327348e-02          
2.32500000e+01      8.70771014992449e-02          
2.35500000e+01      8.47209103162229e-02          
2.38500000e+01      8.28890190479216e-02          
2.41500000e+01      8.08714570266877e-02          
2.44500000e+01      7.88076465190005e-02          
2.47500000e+01      7.69619935059496e-02          
2.50500000e+01      7.56909497367859e-02          
2.53500000e+01      7.30198176411347e-02          
2.56500000e+01      7.17305000797625e-02          
2.59500000e+01      7.03597400617577e-02          
2.62500000e+01      6.82812653998292e-02          
2.65500000e+01      6.67124264983800e-02          
2.68500000e+01      6.43593937485792e-02          
2.71500000e+01      6.29477997010716e-02          
2.74500000e+01      6.23158874544568e-02          
2.77500000e+01      6.05169341326053e-02          
2.80500000e+01      5.83619802662488e-02          
2.83500000e+01      5.69767816963757e-02          
2.86500000e+01      5.63256932480607e-02          
2.89500000e+01      5.45741164245273e-02          
2.92500000e+01      5.32656226614549e-02          
2.95500000e+01      5.17267888756072e-02          
2.98500000e+01      5.01771261758582e-02          
