#tau                histogram                     
1.25000000e-01      9.04233933844080e-01          
3.75000000e-01      7.78571419613543e-01          
6.25000000e-01      7.02142057654983e-01          
8.75000000e-01      6.48691714394654e-01          
1.12500000e+00      6.07373274546328e-01          
1.37500000e+00      5.74448478248205e-01          
1.62500000e+00      5.53060295104839e-01          
1.87500000e+00      5.33411388157901e-01          
2.12500000e+00      5.16156882228561e-01          
2.37500000e+00      4.98561955822771e-01          
2.62500000e+00      4.84552520179402e-01          
2.87500000e+00      4.71453333753166e-01          
3.12500000e+00      4.59804180695199e-01          
3.37500000e+00      4.47360119090132e-01          
3.62500000e+00      4.36842475828232e-01          
3.87500000e+00      4.28242084763536e-01          
4.12500000e+00      4.17753976860849e-01          
4.37500000e+00      4.08505335584455e-01          
4.62500000e+00      3.98761213195743e-01          
4.87500000e+00      3.91677564672713e-01          
5.12500000e+00      3.82646110132603e-01          
5.37500000e+00      3.73307080472410e-01          
5.62500000e+00      3.66180656601554e-01          
5.87500000e+00      3.58900699785822e-01          
6.12500000e+00      3.50200754191364e-01          
6.37500000e+00      3.43323853182826e-01          
6.62500000e+00      3.34024543488472e-01          
6.87500000e+00      3.28343060682574e-01          
7.12500000e+00      3.20730067230196e-01          
7.37500000e+00      3.13836870851058e-01          
7.62500000e+00      3.07442720196558e-01          
7.87500000e+00      3.01128518704065e-01          
8.12500000e+00      2.95133095398944e-01          
8.37500000e+00      2.88142890641700e-01          
8.62500000e+00      2.82818887528349e-01          
8.87500000e+00      2.76831102678196e-01          
9.12500000e+00      2.70757257902060e-01          
9.37500000e+00      2.65135864275250e-01          
9.62500000e+00      2.58455016944249e-01          
9.87500000e+00      2.53059212354189e-01          
1.01250000e+01      2.50176204833745e-01          
1.03750000e+01      2.42511269887579e-01          
1.06250000e+01      2.37874218491100e-01          
1.08750000e+01      2.31387387916310e-01          
1.11250000e+01      2.28277263668123e-01          
1.13750000e+01      2.23153388074958e-01          
1.16250000e+01      2.19025821624908e-01          
1.18750000e+01      2.15151342649495e-01          
1.21250000e+01      2.09173742405968e-01          
1.23750000e+01      2.04811675388371e-01          
1.26250000e+01      2.01412817542358e-01          
1.28750000e+01      1.96335536524503e-01          
1.31250000e+01      1.93223375354991e-01          
1.33750000e+01      1.89145968092570e-01          
1.36250000e+01      1.84040934021661e-01          
1.38750000e+01      1.80612031586104e-01          
1.41250000e+01      1.75924057156499e-01          
1.43750000e+01      1.73951808083519e-01          
1.46250000e+01      1.70096934475860e-01          
1.48750000e+01      1.66964913323428e-01          
1.51250000e+01      1.62779549230780e-01          
1.53750000e+01      1.59048927823949e-01          
1.56250000e+01      1.56018752737771e-01          
1.58750000e+01      1.51996087735961e-01          
1.61250000e+01      1.49749363514430e-01          
1.63750000e+01      1.46635420038758e-01          
1.66250000e+01      1.43148465345436e-01          
1.68750000e+01      1.39917908123906e-01          
1.71250000e+01      1.37933946753306e-01          
1.73750000e+01      1.34807781749684e-01          
1.76250000e+01      1.31884799648236e-01          
1.78750000e+01      1.29137247395908e-01          
1.81250000e+01      1.26977601561023e-01          
1.83750000e+01      1.24007770269099e-01          
1.86250000e+01      1.20364736479245e-01          
1.88750000e+01      1.19315721996844e-01          
1.91250000e+01      1.16453338304816e-01          
1.93750000e+01      1.13574404627022e-01          
1.96250000e+01      1.10757342434477e-01          
1.98750000e+01      1.08652438860203e-01          
2.01250000e+01      1.06027101887378e-01          
2.03750000e+01      1.04016660539552e-01          
2.06250000e+01      1.02341801980029e-01          
2.08750000e+01      9.92347331138298e-02          
2.11250000e+01      9.65477792709220e-02          
2.13750000e+01      9.48994006886246e-02          
2.16250000e+01      9.33691635431801e-02          
2.18750000e+01      9.16125735154893e-02          
2.21250000e+01      8.97663589494963e-02          
2.23750000e+01      8.77663568234619e-02          
2.26250000e+01      8.59748845180797e-02          
2.28750000e+01      8.45424195962376e-02          
2.31250000e+01      8.23532384021392e-02          
2.33750000e+01      8.15687690768289e-02          
2.36250000e+01      7.96179076777614e-02          
2.38750000e+01      7.76754485791598e-02          
2.41250000e+01      7.56968341270385e-02          
2.43750000e+01      7.54126836021938e-02          
2.46250000e+01      7.29877287647207e-02          
2.48750000e+01      7.16899552654977e-02          
