#tau                histogram                     analytic                      
1.00000000e-01      1.00165716734573e+00          1.00000000000000e+00          
3.00000000e-01      1.00101994918414e+00          1.00000000000000e+00          
5.00000000e-01      1.00065819512366e+00          1.00000000000000e+00          
7.00000000e-01      1.00160406583226e+00          1.00000000000000e+00          
9.00000000e-01      1.00212844327773e+00          1.00000000000000e+00          
1.10000000e+00      9.97767481484374e-01          1.00000000000000e+00          
1.30000000e+00      9.98736584105121e-01          1.00000000000000e+00          
1.50000000e+00      1.00177664575102e+00          1.00000000000000e+00          
1.70000000e+00      1.00321702430378e+00          1.00000000000000e+00          
1.90000000e+00      9.97584945031836e-01          1.00000000000000e+00          
2.10000000e+00      1.00033958604286e+00          1.00000000000000e+00          
2.30000000e+00      9.99864991266264e-01          1.00000000000000e+00          
2.50000000e+00      9.99453454536906e-01          1.00000000000000e+00          
2.70000000e+00      9.96838204998727e-01          1.00000000000000e+00          
2.90000000e+00      9.99984469671562e-01          1.00000000000000e+00          
3.10000000e+00      9.99460092226089e-01          1.00000000000000e+00          
3.30000000e+00      1.00073784739385e+00          1.00000000000000e+00          
3.50000000e+00      9.93678664947525e-01          1.00000000000000e+00          
3.70000000e+00      9.99383758800483e-01          1.00000000000000e+00          
3.90000000e+00      9.96164479546632e-01          1.00000000000000e+00          
4.10000000e+00      9.96064914208884e-01          1.00000000000000e+00          
4.30000000e+00      1.00094693460313e+00          1.00000000000000e+00          
4.50000000e+00      9.97302843241550e-01          1.00000000000000e+00          
4.70000000e+00      9.94325839642887e-01          1.00000000000000e+00          
4.90000000e+00      9.95978624249503e-01          1.00000000000000e+00          
5.10000000e+00      9.92354445955477e-01          1.00000000000000e+00          
5.30000000e+00      9.90369776889701e-01          1.00000000000000e+00          
5.50000000e+00      9.94199723548406e-01          1.00000000000000e+00          
5.70000000e+00      9.88421615114433e-01          1.00000000000000e+00          
5.90000000e+00      9.89639631079550e-01          1.00000000000000e+00          
6.10000000e+00      9.92065706476008e-01          1.00000000000000e+00          
6.30000000e+00      9.89460413471603e-01          1.00000000000000e+00          
6.50000000e+00      9.90930661625681e-01          1.00000000000000e+00          
6.70000000e+00      9.98783047929403e-01          1.00000000000000e+00          
6.90000000e+00      9.91693995881749e-01          1.00000000000000e+00          
7.10000000e+00      9.96207624526323e-01          1.00000000000000e+00          
7.30000000e+00      1.00300461824992e+00          1.00000000000000e+00          
7.50000000e+00      9.96058276519701e-01          1.00000000000000e+00          
7.70000000e+00      9.90970487760781e-01          1.00000000000000e+00          
7.90000000e+00      9.96054957675109e-01          1.00000000000000e+00          
8.10000000e+00      9.93808099886597e-01          1.00000000000000e+00          
8.30000000e+00      9.91816793131638e-01          1.00000000000000e+00          
8.50000000e+00      9.95905609668488e-01          1.00000000000000e+00          
8.70000000e+00      9.93353418177548e-01          1.00000000000000e+00          
8.90000000e+00      9.86921497359031e-01          1.00000000000000e+00          
9.10000000e+00      9.87591903966534e-01          1.00000000000000e+00          
9.30000000e+00      9.87094077277794e-01          1.00000000000000e+00          
9.50000000e+00      9.88398383202292e-01          1.00000000000000e+00          
9.70000000e+00      9.91783604685722e-01          1.00000000000000e+00          
9.90000000e+00      9.89105297100302e-01          1.00000000000000e+00          
