#tau                histogram                     analytic                      
1.00000000e-01      9.33069461472836e-01          9.27743486328553e-01          
3.00000000e-01      7.95442877843655e-01          7.98516218759377e-01          
5.00000000e-01      6.89819388246345e-01          6.87289278790972e-01          
7.00000000e-01      5.91160887370910e-01          5.91555364366815e-01          
9.00000000e-01      5.11697603268534e-01          5.09156420607549e-01          
1.10000000e+00      4.44418069694890e-01          4.38234992464949e-01          
1.30000000e+00      3.76308580363157e-01          3.77192353563157e-01          
1.50000000e+00      3.27062325501248e-01          3.24652467358350e-01          
1.70000000e+00      2.78400359493034e-01          2.79430968221407e-01          
1.90000000e+00      2.39744340104328e-01          2.40508463208342e-01          
2.10000000e+00      2.05404090657679e-01          2.07007552681153e-01          
2.30000000e+00      1.73613465299877e-01          1.78173051772898e-01          
2.50000000e+00      1.51078506556272e-01          1.53354966844928e-01          
2.70000000e+00      1.29380143216820e-01          1.31993843187830e-01          
2.90000000e+00      1.13451632307595e-01          1.13608153670764e-01          
3.10000000e+00      9.68193189155120e-02          9.77834440513500e-02          
3.30000000e+00      8.41243156397982e-02          8.41629902573104e-02          
3.50000000e+00      7.00814642129495e-02          7.24397570342515e-02          
3.70000000e+00      6.03875809584818e-02          6.23494766896734e-02          
3.90000000e+00      5.02554810637437e-02          5.36646919127301e-02          
4.10000000e+00      4.48906470434629e-02          4.61896283816801e-02          
4.30000000e+00      3.85962625741237e-02          3.97557815762213e-02          
4.50000000e+00      3.23815538575608e-02          3.42181183116660e-02          
4.70000000e+00      2.89156586117854e-02          2.94518073691073e-02          
4.90000000e+00      2.48123573437984e-02          2.53494055227249e-02          
5.10000000e+00      2.09812815644643e-02          2.18184355310428e-02          
5.30000000e+00      1.79469633128946e-02          1.87793014946844e-02          
5.50000000e+00      1.58222765721894e-02          1.61634945881659e-02          
5.70000000e+00      1.22435073433140e-02          1.39120487189376e-02          
5.90000000e+00      1.12475604336084e-02          1.19742113008036e-02          
6.10000000e+00      1.04109650294557e-02          1.03062991780007e-02          
6.30000000e+00      8.30619722694456e-03          8.87071390992825e-03          
6.50000000e+00      7.17745739594490e-03          7.63509421885996e-03          
6.70000000e+00      6.38733951424513e-03          6.57158649492961e-03          
6.90000000e+00      6.32094305359810e-03          5.65621691395310e-03          
7.10000000e+00      4.07010303766348e-03          4.86835101422977e-03          
7.30000000e+00      4.44192321728690e-03          4.19022854998458e-03          
7.50000000e+00      3.56548993674598e-03          3.60656313601573e-03          
7.70000000e+00      3.25342657170490e-03          3.10419765864931e-03          
7.90000000e+00      2.64921877981685e-03          2.67180768519945e-03          
8.10000000e+00      3.47917453790483e-03          2.29964618612493e-03          
8.30000000e+00      2.15124532496406e-03          1.97932381535319e-03          
8.50000000e+00      1.42752390391133e-03          1.70361979580257e-03          
8.70000000e+00      9.89307263640878e-04          1.46631914704290e-03          
8.90000000e+00      1.61343399372304e-03          1.26207258584461e-03          
9.10000000e+00      7.37000713182131e-04          1.08627594146386e-03          
9.30000000e+00      6.90523190729204e-04          9.34966367416581e-04          
9.50000000e+00      8.43235050217393e-04          8.04733010124613e-04          
9.70000000e+00      7.56919651376242e-04          6.92640120706801e-04          
9.90000000e+00      8.16676465958578e-04          5.96160876684358e-04          
