#tau                histogram                     analytic                      
1.00000000e-01      9.77200646660540e-01          9.75309912028333e-01          
3.00000000e-01      9.28579953801046e-01          9.27743486328553e-01          
5.00000000e-01      8.83097445338784e-01          8.82496902584595e-01          
7.00000000e-01      8.37833454273487e-01          8.39457020769207e-01          
9.00000000e-01      8.00027656458484e-01          7.98516218759377e-01          
1.10000000e+00      7.59333081537025e-01          7.59572123224968e-01          
1.30000000e+00      7.22329276890983e-01          7.22527353642072e-01          
1.50000000e+00      6.86947763705122e-01          6.87289278790972e-01          
1.70000000e+00      6.53499729057841e-01          6.53769785129847e-01          
1.90000000e+00      6.21350214020788e-01          6.21885056465020e-01          
2.10000000e+00      5.89010783340302e-01          5.91555364366815e-01          
2.30000000e+00      5.61640049282922e-01          5.62704868806956e-01          
2.50000000e+00      5.35165122146079e-01          5.35261428518990e-01          
2.70000000e+00      5.06174384768801e-01          5.09156420607549e-01          
2.90000000e+00      4.82505861688251e-01          4.84324568955362e-01          
3.10000000e+00      4.59780052404026e-01          4.60703780998966e-01          
3.30000000e+00      4.36163012479829e-01          4.38234992464949e-01          
3.50000000e+00      4.15375258014748e-01          4.16862019678508e-01          
3.70000000e+00      3.95578268291921e-01          3.96531419074993e-01          
3.90000000e+00      3.75687464817519e-01          3.77192353563157e-01          
4.10000000e+00      3.58081369415035e-01          3.58796465405952e-01          
4.30000000e+00      3.39285441065733e-01          3.41297755300994e-01          
4.50000000e+00      3.21503158861509e-01          3.24652467358350e-01          
4.70000000e+00      3.07013510523576e-01          3.08818979688020e-01          
4.90000000e+00      2.92570769061431e-01          2.93757700323533e-01          
5.10000000e+00      2.76800906235527e-01          2.79430968221407e-01          
5.30000000e+00      2.65153128128263e-01          2.65802959088927e-01          
5.50000000e+00      2.50321402818119e-01          2.52839595804746e-01          
5.70000000e+00      2.39587736753651e-01          2.40508463208342e-01          
5.90000000e+00      2.26404616516935e-01          2.28778727045222e-01          
6.10000000e+00      2.16077095352582e-01          2.17621056865233e-01          
6.30000000e+00      2.06000125549146e-01          2.07007552681153e-01          
6.50000000e+00      1.95853367467099e-01          1.96911675204194e-01          
6.70000000e+00      1.86963942470199e-01          1.87308179481957e-01          
6.90000000e+00      1.76247437457848e-01          1.78173051772898e-01          
7.10000000e+00      1.67713818274852e-01          1.69483449499470e-01          
7.30000000e+00      1.58834689909222e-01          1.61217644129777e-01          
7.50000000e+00      1.51807811102149e-01          1.53354966844928e-01          
7.70000000e+00      1.44904491870322e-01          1.45875756856227e-01          
7.90000000e+00      1.37617909141202e-01          1.38761312242955e-01          
8.10000000e+00      1.30025859684390e-01          1.31993843187830e-01          
8.30000000e+00      1.24146483228911e-01          1.25556427493197e-01          
8.50000000e+00      1.17679054720870e-01          1.19432968266720e-01          
8.70000000e+00      1.12099424642378e-01          1.13608153670764e-01          
8.90000000e+00      1.07107846616448e-01          1.08067418634829e-01          
9.10000000e+00      1.03118474034184e-01          1.02796908435286e-01          
9.30000000e+00      9.79026582605849e-02          9.77834440513500e-02          
9.50000000e+00      9.32783267499709e-02          9.30144892106635e-02          
9.70000000e+00      8.90384028067904e-02          8.84781190420873e-02          
9.90000000e+00      8.47035210418927e-02          8.41629902573104e-02          
